date,OPM_LT,OPM_PR,OPM_PR2
1989-07-01,,,12.8
1990-07-01,,,13.5
1991-07-01,,,14.2
1992-07-01,,,14.8
1993-07-01,,,15.1
1994-07-01,,,14.5
1995-07-01,,,13.8
1996-07-01,,,13.7
1997-07-01,,,13.3
1998-07-01,,,12.7
1999-07-01,,,11.9
2000-07-01,,,11.3
2001-07-01,,,11.7
2002-07-01,,,12.1
2003-07-01,,,12.5
2004-07-01,,,12.7
2005-07-01,,,12.6
2006-07-01,,,12.3
2007-07-01,,,12.5
2008-07-01,,,13.2
2009-07-01,,,14.3
2010-07-01,,,15.1
2011-07-01,,,15.0
2012-07-01,,,15.0
2013-07-01,,14.8,14.5
2014-07-01,,14.8,
2015-07-01,,13.5,
2016-07-01,,12.7,
2017-07-01,12.3,12.3,
2018-07-01,11.8,,
2019-07-01,10.5,,
2020-07-01,11.4,,
